Wavelength [nm],Rd [-],Tt [-]
468.089,0.23849,0.21284
468.544,0.24,0.2135
468.999,0.24019,0.21443
469.453,0.24078,0.21532
469.908,0.24115,0.21473
470.363,0.2422,0.21634
470.817,0.24183,0.21648
471.272,0.24343,0.21703
471.726,0.24347,0.21788
472.181,0.24328,0.21851
472.635,0.24423,0.21901
473.09,0.24486,0.21969
473.544,0.24512,0.22008
473.999,0.24584,0.22084
474.453,0.24706,0.22114
474.908,0.24583,0.22242
475.362,0.2479,0.2225
475.816,0.24821,0.22327
476.271,0.24795,0.22418
476.725,0.24816,0.22471
477.179,0.24924,0.2257
477.633,0.25002,0.22623
478.087,0.24915,0.227
478.542,0.25092,0.2265
478.996,0.25031,0.22752
479.45,0.25085,0.22816
479.904,0.2506,0.22851
480.358,0.25196,0.22948
480.812,0.25171,0.22988
481.266,0.25233,0.23039
481.72,0.25284,0.23091
482.174,0.25343,0.23082
482.628,0.25258,0.23186
483.082,0.25353,0.23223
483.536,0.25334,0.23279
483.99,0.25441,0.23322
484.444,0.25366,0.23374
484.897,0.25408,0.23438
485.351,0.25495,0.23418
485.805,0.25553,0.23514
486.259,0.25497,0.23567
486.712,0.25601,0.23602
487.166,0.25591,0.23666
487.62,0.25574,0.23675
488.073,0.2558,0.23701
488.527,0.25665,0.23709
488.981,0.25649,0.23818
489.434,0.25644,0.23807
489.888,0.25706,0.23821
490.341,0.25777,0.23973
490.795,0.2567,0.23956
491.248,0.25828,0.23986
491.701,0.25796,0.24085
492.155,0.25797,0.24103
492.608,0.25779,0.24133
493.062,0.25697,0.24116
493.515,0.25882,0.24206
493.968,0.25796,0.24236
494.421,0.25877,0.24275
494.875,0.25883,0.24324
495.328,0.25882,0.24357
495.781,0.25866,0.24454
496.234,0.25906,0.2448
496.687,0.26014,0.24596
497.14,0.26022,0.2447
497.594,0.25891,0.24622
498.047,0.25889,0.24637
498.5,0.26068,0.24654
498.953,0.25905,0.24678
499.406,0.26127,0.24715
499.859,0.25947,0.24738
500.311,0.26066,0.24772
500.764,0.25894,0.24865
501.217,0.25949,0.24897
501.67,0.25963,0.24872
502.123,0.26009,0.24917
502.576,0.26085,0.24972
503.028,0.26106,0.24945
503.481,0.26005,0.25009
503.934,0.26087,0.25035
504.387,0.25999,0.25076
504.839,0.26072,0.25127
505.292,0.26005,0.25164
505.745,0.26084,0.25197
506.197,0.2601,0.25211
506.65,0.26015,0.25243
507.102,0.26028,0.2521
507.555,0.26076,0.25261
508.007,0.25983,0.25237
508.46,0.25911,0.25333
508.912,0.25961,0.25339
509.364,0.25931,0.25329
509.817,0.25953,0.25371
510.269,0.25946,0.25332
510.721,0.25891,0.25382
511.174,0.25849,0.25375
511.626,0.2577,0.25381
512.078,0.25686,0.25424
512.531,0.25724,0.25393
512.983,0.25683,0.25427
513.435,0.25642,0.25435
513.887,0.25646,0.25419
514.339,0.25693,0.25375
514.791,0.25488,0.25421
515.243,0.2548,0.25429
515.695,0.25412,0.25399
516.147,0.25385,0.2541
516.599,0.25245,0.25404
517.051,0.25184,0.25367
517.503,0.25163,0.25262
517.955,0.25044,0.25352
518.407,0.2497,0.25311
518.859,0.24779,0.25311
519.311,0.24784,0.25154
519.762,0.24662,0.25138
520.214,0.24462,0.25134
520.666,0.24461,0.25051
521.118,0.24357,0.2505
521.569,0.24196,0.24996
522.021,0.24058,0.24932
522.473,0.23946,0.24871
522.924,0.23829,0.2485
523.376,0.23626,0.24766
523.827,0.23582,0.24657
524.279,0.23403,0.24562
524.73,0.23301,0.24587
525.182,0.23139,0.24577
525.633,0.22912,0.24389
526.085,0.22929,0.24385
526.536,0.22664,0.24254
526.987,0.22535,0.24221
527.439,0.22381,0.24135
527.89,0.22253,0.24115
528.341,0.2209,0.24039
528.793,0.21966,0.23929
529.244,0.21827,0.23874
529.695,0.21677,0.23803
530.146,0.21507,0.23785
530.597,0.21474,0.23697
531.049,0.21395,0.23611
531.5,0.21128,0.23532
531.951,0.21136,0.23528
532.402,0.20927,0.23483
532.853,0.20786,0.23418
533.304,0.208,0.23357
533.755,0.20607,0.23314
534.206,0.20525,0.23296
534.657,0.2045,0.23202
535.108,0.20311,0.23193
535.558,0.20292,0.23135
536.009,0.20263,0.23114
536.46,0.20113,0.23075
536.911,0.20056,0.23142
537.362,0.20017,0.23037
537.812,0.19933,0.23117
538.263,0.19917,0.2306
538.714,0.19896,0.2309
539.164,0.1979,0.23058
539.615,0.19808,0.23041
540.066,0.19785,0.23097
540.516,0.19796,0.23063
540.967,0.19781,0.2312
541.417,0.19757,0.23148
541.868,0.19746,0.23201
542.318,0.19842,0.23267
542.769,0.19841,0.23281
543.219,0.19958,0.2333
543.669,0.19982,0.23409
544.12,0.1995,0.23445
544.57,0.20008,0.23531
545.02,0.20036,0.23582
545.471,0.20138,0.23665
545.921,0.2028,0.23773
546.371,0.20286,0.23879
546.821,0.20441,0.2393
547.272,0.20533,0.24018
547.722,0.2067,0.24164
548.172,0.20699,0.24248
548.622,0.20858,0.24353
